,Senior Citizen,Partner,Dependents,Tenure,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Paperless Billing,Monthly Charges,Total Charges,Churn,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Contract_Month-to-month,Contract_One year,Contract_Two year,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
20,True,False,False,1,False,False,False,False,True,False,False,True,True,39.65,39.65,True,True,False,False,True,False,False,False,False,True,False
21,False,True,False,12,True,False,False,False,False,False,False,False,False,19.8,202.25,False,False,False,True,False,True,False,True,False,False,False
22,False,False,False,1,True,False,False,False,False,False,False,False,False,20.15,20.15,True,False,False,True,True,False,False,False,False,False,True
23,False,True,False,58,True,True,False,True,False,True,False,False,True,59.9,3505.1,False,True,False,False,False,False,True,False,True,False,False
24,False,True,True,49,True,False,True,True,False,True,False,False,False,59.6,2970.3,False,True,False,False,True,False,False,False,True,False,False
25,False,False,False,30,True,False,True,True,False,False,False,False,True,55.3,1530.6,False,True,False,False,True,False,False,True,False,False,False
26,False,True,True,47,True,True,False,True,False,False,True,True,True,99.35,4749.15,True,False,True,False,True,False,False,False,False,True,False
27,False,True,True,1,False,False,False,True,False,False,False,False,False,30.2,30.2,True,True,False,False,True,False,False,False,False,True,False
28,False,True,False,72,True,True,True,True,True,True,True,True,True,90.25,6369.45,False,True,False,False,False,False,True,False,True,False,False
29,False,False,True,17,True,False,False,False,False,False,True,True,True,64.7,1093.1,True,True,False,False,True,False,False,False,False,False,True
30,True,True,False,71,True,True,True,True,True,True,False,False,True,96.35,6766.95,False,False,True,False,False,False,True,False,True,False,False
31,True,True,False,2,True,False,False,False,True,False,True,True,True,95.5,181.65,False,False,True,False,True,False,False,False,True,False,False
32,False,True,True,27,True,False,True,True,True,True,False,False,False,66.15,1874.45,False,True,False,False,False,True,False,False,False,False,True
33,False,False,False,1,True,False,False,False,False,False,False,False,False,20.2,20.2,False,False,False,True,True,False,False,True,False,False,False
34,True,False,False,1,True,False,False,False,False,False,False,False,False,45.25,45.25,False,True,False,False,True,False,False,True,False,False,False
35,False,True,True,72,True,True,True,True,False,True,True,False,False,99.9,7251.7,False,False,True,False,False,False,True,True,False,False,False
36,False,False,False,5,True,False,False,False,False,False,False,False,True,69.7,316.9,True,False,True,False,True,False,False,False,False,True,False
37,False,False,False,46,True,False,False,False,True,False,False,False,True,74.8,3548.3,False,False,True,False,True,False,False,False,True,False,False
38,False,False,False,34,True,True,False,True,True,False,True,True,True,106.35,3549.25,True,False,True,False,True,False,False,False,False,True,False
39,False,False,False,11,True,True,False,False,True,False,True,True,True,97.85,1105.4,True,False,True,False,True,False,False,True,False,False,False
40,False,True,True,10,True,False,False,True,False,False,False,False,False,49.55,475.7,False,True,False,False,False,True,False,False,False,False,True
41,False,True,True,70,True,True,True,True,False,False,True,False,True,69.2,4872.35,False,True,False,False,False,False,True,False,True,False,False
42,False,True,True,17,True,False,False,False,False,False,False,False,False,20.75,418.25,False,False,False,True,False,True,False,False,False,False,True
43,False,False,False,63,True,True,True,True,True,True,True,False,True,79.85,4861.45,False,True,False,False,False,False,True,False,True,False,False
44,False,True,False,13,True,True,True,True,False,True,True,False,True,76.2,981.45,False,True,False,False,True,False,False,False,False,True,False
45,False,False,False,49,True,True,False,False,False,False,False,True,True,84.5,3906.7,False,False,True,False,True,False,False,False,False,True,False
46,False,False,False,2,True,False,False,True,False,False,False,False,False,49.25,97.0,False,True,False,False,True,False,False,False,False,False,True
47,False,False,False,2,True,False,False,False,False,False,True,False,True,80.65,144.15,True,False,True,False,True,False,False,False,False,True,False
48,False,False,False,52,True,True,True,False,False,True,True,True,True,79.75,4217.8,False,True,False,False,False,False,True,False,True,False,False
49,False,True,True,69,True,True,True,False,True,True,False,False,True,64.15,4254.1,False,True,False,False,False,False,True,False,True,False,False
50,True,False,False,43,True,True,False,True,False,False,True,False,True,90.25,3838.75,False,False,True,False,True,False,False,False,False,True,False
51,False,False,False,15,True,False,True,True,False,False,True,True,True,99.1,1426.4,True,False,True,False,True,False,False,False,True,False,False
52,True,True,False,25,True,True,True,False,False,True,True,False,True,69.5,1752.65,False,True,False,False,True,False,False,False,True,False,False
53,True,True,False,8,True,True,False,True,False,False,False,False,True,80.65,633.3,True,False,True,False,True,False,False,False,True,False,False
54,True,True,True,60,True,False,True,True,True,True,False,True,True,74.85,4456.35,False,True,False,False,False,True,False,False,True,False,False
55,True,False,False,18,True,True,False,False,False,False,True,True,True,95.45,1752.55,True,False,True,False,True,False,False,False,False,True,False
56,False,True,True,63,True,True,True,False,False,False,True,True,True,99.65,6311.2,False,False,True,False,False,True,False,False,True,False,False
57,True,True,True,66,True,True,False,True,True,True,True,True,True,108.45,7076.35,False,False,True,False,False,True,False,False,False,True,False
58,False,True,True,34,True,True,False,False,False,False,False,False,False,24.95,894.3,False,False,False,True,False,False,True,False,True,False,False
59,False,False,False,72,True,True,False,False,True,True,True,True,True,107.5,7853.7,False,False,True,False,False,False,True,False,True,False,False
60,False,True,False,47,True,True,False,False,True,False,True,True,True,100.5,4707.1,False,False,True,False,True,False,False,False,False,True,False
61,False,False,False,60,True,True,False,True,False,False,True,False,True,89.9,5450.7,False,False,True,False,True,False,False,True,False,False,False
62,False,True,False,72,False,False,True,True,True,False,False,False,False,42.1,2962.0,False,True,False,False,False,False,True,True,False,False,False
63,False,True,True,18,True,False,False,False,True,True,False,False,True,54.4,957.1,False,True,False,False,False,True,False,False,True,False,False
64,False,False,False,9,True,True,False,False,False,False,True,True,False,94.4,857.25,True,False,True,False,True,False,False,False,False,True,False
65,False,False,False,3,True,False,False,True,False,True,True,True,True,75.3,244.1,False,True,False,False,True,False,False,False,False,True,False
66,False,True,False,47,True,True,False,True,False,False,False,False,True,78.9,3650.35,False,False,True,False,False,True,False,False,False,True,False
67,False,False,False,31,True,False,False,True,True,True,True,True,False,79.2,2497.2,False,True,False,False,False,False,True,False,False,False,True
68,False,True,True,50,True,False,False,False,False,False,False,False,False,20.15,930.9,False,False,False,True,False,False,True,True,False,False,False
69,False,False,False,10,True,False,True,False,True,False,False,False,True,79.85,887.35,False,False,True,False,True,False,False,False,False,False,True
70,False,False,False,1,True,False,False,False,False,True,False,False,False,49.05,49.05,False,True,False,False,True,False,False,False,False,False,True
71,False,True,True,52,True,False,False,False,False,False,False,False,True,20.4,1090.65,False,False,False,True,False,True,False,False,False,True,False
72,True,True,True,64,True,True,True,False,True,True,True,True,True,111.6,7099.0,False,False,True,False,False,False,True,True,False,False,False
73,False,True,True,62,True,True,False,False,False,False,False,False,True,24.25,1424.6,False,False,False,True,False,False,True,True,False,False,False
74,False,False,True,3,True,False,True,False,False,True,False,True,True,64.5,177.4,False,True,False,False,True,False,False,True,False,False,False
75,True,False,False,56,True,True,True,True,True,False,True,True,False,110.5,6139.5,False,False,True,False,False,True,False,False,False,True,False
76,False,False,False,46,True,False,False,False,False,False,False,True,False,55.65,2688.85,False,True,False,False,False,True,False,False,True,False,False
77,False,True,True,8,True,False,True,True,False,False,False,False,False,54.65,482.25,False,True,False,False,True,False,False,False,False,False,True
78,True,False,False,30,True,False,True,True,False,False,True,True,True,74.75,2111.3,False,True,False,False,True,False,False,False,False,True,False
79,False,True,True,45,True,True,False,False,False,False,False,False,True,25.9,1216.6,False,False,False,True,False,True,False,False,True,False,False
80,False,False,True,1,True,False,False,False,False,False,True,False,True,79.35,79.35,True,False,True,False,True,False,False,False,False,True,False
81,False,True,True,11,False,False,True,False,False,False,True,True,False,50.55,565.35,False,True,False,False,True,False,False,False,False,True,False
82,False,True,False,7,True,False,False,False,True,False,False,False,True,75.15,496.9,True,False,True,False,True,False,False,True,False,False,False
83,False,False,False,42,True,False,False,True,True,True,True,True,True,103.8,4327.5,False,False,True,False,True,False,False,True,False,False,False
84,False,True,False,49,True,False,False,False,False,False,False,False,True,20.15,973.35,False,False,False,True,False,False,True,True,False,False,False
85,False,False,False,9,True,True,False,True,False,False,True,True,True,99.3,918.75,False,False,True,False,True,False,False,False,True,False,False
86,False,True,False,35,True,False,True,False,False,False,True,False,True,62.15,2215.45,False,True,False,False,False,True,False,True,False,False,False
87,False,True,True,48,True,False,False,False,False,False,False,False,False,20.65,1057.0,False,False,False,True,False,False,True,True,False,False,False
88,False,True,True,46,True,False,False,False,False,False,False,False,True,19.95,927.1,False,False,False,True,False,False,True,False,False,False,True
89,False,True,False,29,False,False,False,False,False,False,True,False,False,33.75,1009.25,False,True,False,False,True,False,False,False,False,False,True
90,False,True,True,30,True,False,False,True,True,False,False,False,False,82.05,2570.2,False,False,True,False,True,False,False,True,False,False,False
91,True,False,False,1,True,False,False,False,False,True,False,False,False,74.7,74.7,False,False,True,False,True,False,False,False,False,True,False
92,False,True,True,66,True,True,True,False,True,True,True,True,True,84.0,5714.25,False,True,False,False,False,False,True,False,False,False,True
93,False,False,False,65,True,True,True,True,True,False,True,True,True,111.05,7107.0,False,False,True,False,True,False,False,False,True,False,False
94,False,False,False,72,True,True,False,True,True,False,True,True,True,100.9,7459.05,False,False,True,False,False,False,True,True,False,False,False
95,False,False,False,12,True,True,True,False,False,False,False,False,True,78.95,927.35,True,False,True,False,True,False,False,False,False,True,False
96,False,True,True,71,True,True,True,True,False,True,False,False,True,66.85,4748.7,False,True,False,False,False,True,False,False,True,False,False
97,False,False,False,5,True,False,False,False,False,False,False,False,False,21.05,113.85,True,False,False,True,True,False,False,False,False,False,True
98,False,False,False,52,True,False,False,False,False,False,False,False,False,21.0,1107.2,False,False,False,True,False,False,True,True,False,False,False
99,True,True,False,25,True,False,False,True,True,False,True,True,True,98.5,2514.5,True,False,True,False,True,False,False,False,False,True,False
100,False,False,False,1,True,False,False,False,False,False,False,False,False,20.2,20.2,False,False,False,True,True,False,False,False,False,False,True
101,False,True,True,1,True,False,False,False,False,False,False,False,False,19.45,19.45,False,False,False,True,True,False,False,False,False,True,False
102,False,False,False,38,True,True,False,False,True,True,True,False,False,95.0,3605.6,False,False,True,False,False,True,False,True,False,False,False
103,True,True,False,66,False,False,False,True,True,False,True,False,False,45.55,3027.25,False,True,False,False,False,True,False,True,False,False,False
104,False,True,False,68,True,True,False,True,True,True,True,True,True,110.0,7611.85,True,False,True,False,False,False,True,True,False,False,False
105,False,False,False,5,False,False,False,False,False,False,False,False,False,24.3,100.2,False,True,False,False,True,False,False,False,False,False,True
106,False,True,True,72,True,True,True,True,False,False,True,True,True,104.15,7303.05,False,False,True,False,False,True,False,False,False,True,False
107,False,False,False,32,False,False,True,False,False,False,False,False,False,30.15,927.65,False,True,False,False,False,True,False,False,False,False,True
108,False,False,False,43,True,True,False,False,False,False,True,True,False,94.35,3921.3,False,False,True,False,False,True,False,False,False,False,True
109,False,True,True,72,True,False,False,False,False,False,False,False,False,19.4,1363.25,False,False,False,True,False,False,True,False,True,False,False
110,False,True,False,55,True,True,True,True,False,False,True,False,True,96.75,5238.9,True,False,True,False,True,False,False,False,False,True,False
111,False,False,False,52,True,False,True,False,True,True,False,False,False,57.95,3042.25,False,True,False,False,False,True,False,False,True,False,False
112,False,False,False,43,True,False,False,True,True,False,True,False,True,91.65,3954.1,False,False,True,False,True,False,False,False,False,True,False
113,True,True,False,37,True,True,False,False,False,False,False,False,True,76.5,2868.15,True,False,True,False,True,False,False,False,False,True,False
114,False,True,True,64,False,False,False,True,False,True,True,True,True,54.6,3423.5,False,True,False,False,False,False,True,False,False,True,False
115,False,True,True,3,True,False,True,True,False,False,True,False,False,89.85,248.4,False,False,True,False,True,False,False,False,False,True,False
116,False,False,False,36,False,False,True,False,False,False,False,False,False,31.05,1126.35,False,True,False,False,False,False,True,True,False,False,False
117,False,True,True,10,True,True,True,False,False,False,True,True,True,100.25,1064.65,True,False,True,False,True,False,False,False,False,True,False
118,False,False,False,41,True,False,False,False,False,False,False,False,False,20.65,835.15,False,False,False,True,False,False,True,False,False,False,True
119,False,True,True,27,True,True,False,True,False,True,False,False,True,85.2,2151.6,False,False,True,False,True,False,False,False,True,False,False
120,False,True,True,56,True,True,False,False,True,False,True,True,True,99.8,5515.45,False,False,True,False,False,True,False,False,True,False,False
121,False,False,False,6,True,False,False,False,False,False,False,False,False,20.7,112.75,False,False,False,True,True,False,False,False,False,False,True
122,False,False,False,3,True,True,False,False,False,False,False,False,True,74.4,229.55,True,False,True,False,True,False,False,False,False,True,False
123,False,True,True,7,True,False,True,False,False,False,False,False,False,50.7,350.35,False,True,False,False,True,False,False,False,False,False,True
124,False,True,True,4,True,False,False,False,False,False,False,False,False,20.85,62.9,False,False,False,True,True,False,False,False,False,False,True
125,False,False,False,33,True,False,True,False,False,True,True,False,True,88.95,3027.65,False,False,True,False,False,False,True,False,False,True,False
126,True,False,False,27,True,True,False,False,True,False,False,False,True,78.05,2135.5,True,False,True,False,True,False,False,False,False,True,False
127,False,True,False,72,True,True,False,False,False,False,False,False,True,23.55,1723.95,False,False,False,True,False,False,True,True,False,False,False
128,False,False,False,1,True,False,False,False,False,False,False,False,False,19.75,19.75,False,False,False,True,True,False,False,False,False,False,True
129,True,False,False,71,False,False,True,True,False,False,True,True,True,56.45,3985.35,False,True,False,False,False,True,False,False,False,True,False
130,False,False,False,13,True,True,False,False,False,False,False,True,True,85.95,1215.65,False,False,True,False,True,False,False,False,False,True,False
131,False,True,True,25,False,False,True,True,True,False,True,True,True,58.6,1502.65,True,True,False,False,True,False,False,False,True,False,False
132,False,False,False,67,True,False,False,False,False,True,False,False,False,50.55,3260.1,False,True,False,False,False,False,True,True,False,False,False
133,False,False,False,1,False,False,False,False,False,False,False,True,True,35.45,35.45,True,True,False,False,True,False,False,False,False,True,False
134,False,False,False,2,True,False,False,False,False,False,False,False,False,44.35,81.25,True,True,False,False,True,False,False,False,False,True,False
135,False,False,False,43,True,True,False,False,False,False,False,False,True,25.7,1188.2,False,False,False,True,False,False,True,False,True,False,False
136,False,False,False,23,True,False,True,False,False,False,False,False,True,75.0,1778.5,False,False,True,False,True,False,False,True,False,False,False
137,False,True,True,64,True,False,False,False,False,False,False,False,False,20.2,1277.75,False,False,False,True,False,False,True,False,False,False,True
138,False,False,True,57,True,False,False,False,False,False,False,False,True,19.6,1170.55,False,False,False,True,False,False,True,False,False,False,True
139,True,True,False,1,True,False,False,False,False,False,False,False,True,70.45,70.45,True,False,True,False,True,False,False,False,False,False,True
140,True,True,True,72,True,True,True,True,True,True,True,True,True,88.05,6425.65,False,True,False,False,False,False,True,False,True,False,False
141,False,False,False,8,True,True,True,False,False,True,False,True,False,71.15,563.65,True,True,False,False,True,False,False,False,False,True,False
142,False,True,False,61,True,True,False,True,False,False,True,True,True,101.05,5971.25,False,False,True,False,False,False,True,True,False,False,False
143,False,False,False,64,True,True,True,True,False,False,False,False,True,84.3,5289.05,False,False,True,False,False,True,False,False,True,False,False
144,True,True,False,71,True,True,False,False,False,False,False,False,False,23.95,1756.2,False,False,False,True,False,False,True,True,False,False,False
145,False,True,True,65,True,True,True,True,False,True,True,False,True,99.05,6416.7,False,False,True,False,False,False,True,False,True,False,False
146,False,False,False,3,True,False,False,False,False,False,False,False,False,19.6,61.35,False,False,False,True,False,True,False,False,False,False,True
147,False,False,False,1,True,False,False,False,False,False,False,False,True,45.65,45.65,True,True,False,False,True,False,False,False,False,True,False
148,False,False,True,30,True,False,False,True,True,False,True,False,False,64.5,1929.95,False,True,False,False,False,True,False,False,True,False,False
149,False,True,True,15,True,False,False,True,True,True,False,True,True,69.5,1071.4,False,True,False,False,True,False,False,False,False,False,True
150,False,True,True,8,True,False,False,False,False,True,True,True,True,68.55,564.35,False,True,False,False,True,False,False,False,False,True,False
151,False,False,False,7,True,True,False,False,False,False,True,True,False,95.0,655.5,True,False,True,False,True,False,False,False,False,False,True
152,False,True,True,70,True,True,True,True,True,False,True,True,True,108.15,7930.55,False,False,True,False,False,True,False,False,True,False,False
153,False,True,True,62,True,False,True,True,True,True,True,True,False,86.1,5215.25,False,True,False,False,False,False,True,False,False,True,False
154,False,True,True,6,True,False,False,False,False,False,False,False,False,19.7,113.5,False,False,False,True,True,False,False,False,False,False,True
155,False,True,True,14,True,False,False,False,False,False,False,True,True,80.9,1152.8,False,False,True,False,True,False,False,True,False,False,False
156,False,False,False,22,True,True,False,False,False,False,True,False,True,84.15,1821.95,False,False,True,False,True,False,False,True,False,False,False
157,False,True,True,22,True,False,False,False,False,False,False,False,False,20.15,419.9,False,False,False,True,False,True,False,False,False,False,True
158,False,True,True,16,True,False,True,False,True,False,True,False,False,64.25,1024.0,False,True,False,False,False,False,True,False,False,False,True
159,False,False,False,10,True,True,False,False,False,False,False,False,False,25.7,251.6,False,False,False,True,False,False,True,True,False,False,False
160,False,False,True,13,True,False,True,True,False,False,False,False,True,56.0,764.55,False,True,False,False,True,False,False,False,False,True,False
161,False,True,False,20,True,True,True,False,False,False,False,False,False,82.4,1592.35,True,False,True,False,True,False,False,False,False,True,False
162,False,False,False,2,True,False,False,False,False,False,False,False,True,69.7,135.2,False,False,True,False,True,False,False,False,False,True,False
163,False,False,False,53,True,True,False,True,True,True,False,True,True,73.9,3958.25,False,True,False,False,False,False,True,True,False,False,False
164,False,True,True,11,True,False,False,False,False,False,False,False,False,20.6,233.9,False,False,False,True,False,True,False,False,False,False,True
165,False,True,False,69,True,False,False,False,False,False,False,False,False,19.9,1363.45,False,False,False,True,False,False,True,False,False,False,True
166,False,False,False,4,True,False,False,False,False,False,False,False,True,70.9,273.0,True,False,True,False,True,False,False,True,False,False,False
167,False,True,False,72,True,True,True,True,True,True,True,True,True,89.05,6254.45,False,True,False,False,False,False,True,True,False,False,False
168,True,True,False,58,False,False,False,True,True,False,False,True,True,45.3,2651.2,True,True,False,False,True,False,False,False,False,True,False
169,False,True,True,16,True,False,False,False,False,False,False,False,False,20.4,321.4,False,False,False,True,True,False,False,False,False,True,False
170,False,True,False,43,True,False,True,False,True,True,False,False,True,84.25,3539.25,False,False,True,False,False,True,False,True,False,False,False
171,False,True,False,2,True,True,False,False,True,True,True,True,True,104.4,242.8,True,False,True,False,True,False,False,False,False,True,False
172,False,True,False,14,True,False,False,True,True,True,True,True,False,81.95,1181.75,False,True,False,False,False,False,True,False,False,False,True
173,False,True,False,53,True,False,False,False,True,False,True,True,True,94.85,5000.2,True,False,True,False,False,True,False,True,False,False,False
174,False,False,False,32,True,False,False,False,False,False,False,False,False,20.55,654.55,False,False,False,True,False,True,False,True,False,False,False
175,False,True,False,34,True,True,False,False,False,False,False,False,False,24.7,780.2,False,False,False,True,True,False,False,False,False,True,False
176,True,False,False,15,True,True,False,False,False,False,False,False,True,74.45,1145.7,True,False,True,False,True,False,False,False,False,False,True
177,True,False,False,7,True,False,True,False,False,False,False,False,False,76.45,503.6,True,False,True,False,True,False,False,True,False,False,False
178,False,True,True,15,True,True,False,True,True,False,True,True,True,105.35,1559.25,False,False,True,False,True,False,False,True,False,False,False
179,False,True,False,61,True,False,False,False,False,False,False,False,True,20.55,1252.0,False,False,False,True,False,True,False,False,True,False,False
180,False,False,False,1,False,False,False,True,False,False,False,False,False,29.95,29.95,True,True,False,False,True,False,False,True,False,False,False
181,False,False,False,1,True,False,False,False,False,False,False,False,False,45.3,45.3,False,True,False,False,True,False,False,False,False,False,True
182,False,False,False,8,True,True,False,False,False,False,False,True,False,84.5,662.65,True,False,True,False,True,False,False,True,False,False,False
183,False,True,True,33,True,False,True,False,True,False,True,True,False,74.75,2453.3,False,True,False,False,False,True,False,False,True,False,False
184,False,False,False,13,True,False,False,True,True,False,False,False,True,79.25,1111.65,True,False,True,False,True,False,False,False,False,True,False
185,False,True,False,1,False,False,False,False,False,False,False,False,True,24.8,24.8,True,True,False,False,True,False,False,False,False,True,False
186,False,False,False,20,True,False,False,True,False,False,False,False,True,51.8,1023.85,False,True,False,False,True,False,False,False,False,False,True
187,False,False,False,3,False,False,False,False,False,True,False,False,False,30.4,82.15,False,True,False,False,True,False,False,False,False,True,False
188,False,False,False,13,True,False,False,False,False,False,False,False,False,19.65,244.8,False,False,False,True,False,True,False,False,False,True,False
189,False,True,False,40,True,True,False,True,False,False,False,False,False,56.6,2379.1,False,True,False,False,True,False,False,False,True,False,False
190,False,True,True,43,True,True,True,False,False,True,False,True,True,71.9,3173.35,False,True,False,False,False,True,False,False,True,False,False
191,False,True,False,6,True,False,False,True,True,False,False,True,True,91.0,531.0,True,False,True,False,True,False,False,False,False,True,False
192,False,True,True,69,True,False,False,False,False,False,False,False,False,19.75,1375.4,False,False,False,True,False,False,True,True,False,False,False
193,False,True,True,72,True,True,True,True,True,False,True,True,False,109.7,8129.3,False,False,True,False,False,False,True,False,True,False,False
194,False,True,True,59,True,False,False,False,False,False,False,False,False,19.3,1192.7,False,False,False,True,False,False,True,False,True,False,False
195,False,True,False,20,True,False,True,True,False,True,True,False,True,96.55,1901.65,False,False,True,False,True,False,False,False,False,True,False
196,False,True,True,24,True,True,False,False,False,False,False,False,True,24.1,587.4,False,False,False,True,False,False,True,True,False,False,False
197,False,False,False,59,True,True,False,True,True,True,True,True,True,111.35,6519.75,False,False,True,False,True,False,False,False,False,True,False
198,False,True,True,72,True,True,False,True,True,True,True,True,True,112.25,8041.65,False,False,True,False,False,False,True,True,False,False,False
199,False,False,True,1,True,False,False,False,False,False,False,False,False,20.75,20.75,False,False,False,True,True,False,False,False,False,False,True
200,False,True,False,27,True,False,True,False,False,True,True,True,True,101.9,2681.15,False,False,True,False,False,True,False,False,True,False,False
201,False,False,False,14,True,False,False,True,False,True,False,False,True,80.05,1112.3,False,False,True,False,True,False,False,False,True,False,False
202,False,True,True,71,True,True,True,False,True,False,True,True,False,105.55,7405.5,False,False,True,False,False,False,True,False,False,True,False
203,False,False,True,13,True,False,False,False,False,False,True,False,True,78.3,1033.95,False,False,True,False,True,False,False,False,True,False,False
204,False,False,False,44,True,False,False,False,False,False,False,False,False,68.85,2958.95,False,False,True,False,True,False,False,False,True,False,False
205,False,False,False,33,True,False,False,True,False,True,False,False,True,79.95,2684.85,False,False,True,False,False,True,False,True,False,False,False
206,False,True,True,72,False,False,True,True,True,True,False,True,True,55.45,4179.2,False,True,False,False,False,False,True,False,True,False,False
207,False,False,False,1,True,False,False,False,False,False,False,True,False,79.9,79.9,True,False,True,False,True,False,False,False,False,True,False
208,False,False,False,19,True,False,True,False,True,True,True,True,True,106.6,1934.45,True,False,True,False,True,False,False,False,False,True,False
209,False,True,False,64,True,False,False,True,True,True,True,True,True,102.45,6654.1,False,False,True,False,False,True,False,False,True,False,False
210,False,False,False,2,True,False,False,False,False,False,False,False,True,46.0,84.5,True,True,False,False,True,False,False,False,True,False,False
211,False,False,False,1,False,False,False,False,False,False,False,False,False,25.25,25.25,False,True,False,False,True,False,False,False,False,True,False
212,False,False,True,61,True,False,False,False,False,False,False,False,False,19.75,1124.2,False,False,False,True,False,False,True,False,False,False,True
213,False,True,True,29,True,False,False,False,False,False,False,False,False,20.0,540.05,False,False,False,True,False,True,False,False,False,True,False
214,True,True,False,23,True,True,False,False,False,False,False,True,False,86.8,1975.85,False,False,True,False,True,False,False,False,False,True,False
215,False,True,False,57,False,False,True,True,True,False,True,True,True,58.75,3437.45,False,True,False,False,True,False,False,True,False,False,False
216,False,True,True,72,False,False,True,True,True,True,False,False,False,45.25,3139.8,False,True,False,False,False,False,True,False,True,False,False
217,False,True,False,66,False,False,True,True,True,True,True,False,True,56.6,3789.2,False,True,False,False,False,False,True,True,False,False,False
218,False,True,True,65,True,True,False,True,True,True,True,True,True,84.2,5324.5,False,True,False,False,False,False,True,True,False,False,False
219,False,False,False,8,True,False,False,False,False,False,True,False,True,80.0,624.6,False,False,True,False,True,False,False,True,False,False,False
220,False,False,False,4,True,False,False,False,False,False,False,False,True,70.15,268.35,True,False,True,False,True,False,False,False,False,True,False
221,False,True,False,71,True,True,False,False,False,False,False,False,False,24.75,1836.9,False,False,False,True,False,False,True,True,False,False,False
222,False,True,True,1,True,False,False,False,False,False,False,False,True,20.2,20.2,False,False,False,True,False,True,False,False,False,True,False
223,False,True,False,4,True,False,False,False,False,True,False,False,False,50.05,179.35,True,True,False,False,True,False,False,False,False,False,True
224,False,False,False,12,True,False,False,False,False,False,False,False,True,19.35,219.35,False,False,False,True,False,True,False,True,False,False,False
225,False,False,False,24,False,False,True,False,False,False,True,True,True,50.6,1288.75,False,True,False,False,False,True,False,False,False,False,True
226,False,True,True,31,True,False,True,False,True,True,True,True,True,81.15,2545.75,False,True,False,False,False,True,False,False,False,False,True
227,False,True,False,1,True,False,False,False,False,False,True,False,False,55.2,55.2,True,True,False,False,True,False,False,False,False,False,True
228,False,False,False,30,True,True,False,False,False,True,False,True,True,89.9,2723.15,False,False,True,False,True,False,False,False,True,False,False
229,False,True,True,47,True,True,True,True,False,True,True,True,True,85.3,4107.25,False,True,False,False,False,False,True,False,True,False,False
230,False,False,False,54,True,True,True,True,False,True,True,True,True,108.0,5760.65,False,False,True,False,False,False,True,False,True,False,False
